VARIABLES = "X", "Y", "VELOCITY_X", "VELOCITY_Y", "PRESSURE"
ZONE I=128, J=64, F=POINT
0.867188 0.0234375 8.69111e-05 -1.28697e-06 1.82191e-05
0.882813 0.0234375 8.77381e-05 -1.24329e-06 1.75325e-05
0.898438 0.0234375 8.85383e-05 -1.19949e-06 1.68251e-05
0.914063 0.0234375 8.93118e-05 -1.15562e-06 1.60966e-05
0.929688 0.0234375 9.00584e-05 -1.11171e-06 1.53469e-05
0.945313 0.0234375 9.07781e-05 -1.06782e-06 1.45757e-05
0.960938 0.0234375 9.1471e-05 -1.024e-06 1.3783e-05
0.976563 0.0234375 9.21371e-05 -9.80314e-07 1.29686e-05
0.992188 0.0234375 9.27766e-05 -9.36828e-07 1.21325e-05
1.00781 0.0234375 9.33895e-05 -8.93617e-07 1.12746e-05
1.02344 0.0234375 9.39761e-05 -8.50757e-07 1.03951e-05
1.03906 0.0234375 9.45367e-05 -8.0833e-07 9.49385e-06
1.05469 0.0234375 9.50715e-05 -7.66421e-07 8.57115e-06
1.07031 0.0234375 9.55809e-05 -7.25116e-07 7.62716e-06
1.08594 0.0234375 9.60653e-05 -6.845e-07 6.66211e-06
1.10156 0.0234375 9.65252e-05 -6.44659e-07 5.67631e-06
1.11719 0.0234375 9.69611e-05 -6.05677e-07 4.67012e-06
1.13281 0.0234375 9.73736e-05 -5.67634e-07 3.64395e-06
1.14844 0.0234375 9.77634e-05 -5.30605e-07 2.59826e-06
1.16406 0.0234375 9.81311e-05 -4.94662e-07 1.53356e-06
1.17969 0.0234375 9.84775e-05 -4.59867e-07 4.50407e-07
1.19531 0.0234375 9.88032e-05 -4.26276e-07 -6.50615e-07
1.21094 0.0234375 9.91092e-05 -3.93936e-07 -1.76887e-06
1.22656 0.0234375 9.93963e-05 -3.62886e-07 -2.90371e-06
1.24219 0.0234375 9.96652e-05 -3.33154e-07 -4.05445e-06
1.25781 0.0234375 9.99169e-05 -3.04761e-07 -5.22038e-06
1.27344 0.0234375 0.000100152 -2.77714e-07 -6.4008e-06
1.28906 0.0234375 0.000100372 -2.52016e-07 -7.59498e-06
1.30469 0.0234375 0.000100577 -2.27657e-07 -8.80222e-06
1.32031 0.0234375 0.000100769 -2.0462e-07 -1.00218e-05
1.33594 0.0234375 0.000100947 -1.82883e-07 -1.1253e-05
1.35156 0.0234375 0.000101114 -1.62414e-07 -1.24952e-05
1.36719 0.0234375 0.000101269 -1.43176e-07 -1.37476e-05
1.38281 0.0234375 0.000101413 -1.2513e-07 -1.50096e-05
1.39844 0.0234375 0.000101548 -1.08229e-07 -1.62806e-05
1.41406 0.0234375 0.000101674 -9.24263e-08 -1.756e-05
1.42969 0.0234375 0.000101791 -7.76716e-08 -1.88473e-05
1.44531 0.0234375 0.000101901 -6.39137e-08 -2.01417e-05
1.46094 0.0234375 0.000102003 -5.11008e-08 -2.1443e-05
1.47656 0.0234375 0.000102099 -3.91812e-08 -2.27505e-05
1.49219 0.0234375 0.000102189 -2.81036e-08 -2.40638e-05
1.50781 0.0234375 0.000102274 -1.7818e-08 -2.53824e-05
1.52344 0.0234375 0.000102353 -8.27557e-09 -2.67061e-05
1.53906 0.0234375 0.000102428 5.70742e-10 -2.80343e-05
1.55469 0.0234375 0.000102498 8.766e-09 -2.93668e-05
1.57031 0.0234375 0.000102565 1.63532e-08 -3.07032e-05
1.58594 0.0234375 0.000102628 2.33731e-08 -3.20432e-05
1.60156 0.0234375 0.000102688 2.98643e-08 -3.33866e-05
1.61719 0.0234375 0.000102745 3.58628e-08 -3.47331e-05
1.63281 0.0234375 0.0001028 4.14025e-08 -3.60825e-05
1.64844 0.0234375 0.000102852 4.65151e-08 -3.74345e-05
1.66406 0.0234375 0.000102902 5.123e-08 -3.8789e-05
1.67969 0.0234375 0.00010295 5.55744e-08 -4.01457e-05
1.69531 0.0234375 0.000102996 5.95734e-08 -4.15046e-05
1.71094 0.0234375 0.00010304 6.32502e-08 -4.28654e-05
1.72656 0.0234375 0.000103084 6.66263e-08 -4.42281e-05
1.74219 0.0234375 0.000103126 6.97211e-08 -4.55925e-05
1.75781 0.0234375 0.000103166 7.25524e-08 -4.69585e-05
1.77344 0.0234375 0.000103206 7.51367e-08 -4.8326e-05
1.78906 0.0234375 0.000103245 7.74886e-08 -4.96949e-05
1.80469 0.0234375 0.000103283 7.96215e-08 -5.10651e-05
1.82031 0.0234375 0.00010332 8.15475e-08 -5.24365e-05
1.83594 0.0234375 0.000103357 8.32774e-08 -5.38092e-05
1.85156 0.0234375 0.000103393 8.48209e-08 -5.5183e-05
1.86719 0.0234375 0.000103424 8.61866e-08 -5.65578e-05
1.88281 0.0234375 0.000103382 8.73823e-08 -5.79337e-05
1.89844 0.0234375 0.000102209 8.84201e-08 -5.93106e-05
1.91406 0.0234375 8.54559e-05 8.93741e-08 -6.06884e-05
1.92969 0.0234375 -0.000114363 9.0924e-08 -6.20677e-05
1.94531 0.0234375 -0.00187438 9.75122e-08 -6.34536e-05
1.96094 0.0234375 -0.00918883 1.15059e-07 -6.48897e-05
1.97656 0.0234375 -0.018768 8.58186e-08 -6.65059e-05
1.99219 0.0234375 0.0330071 5.9711e-09 -6.82431e-05
0.0078125 0.0390625 1.0604e-06 -3.42948e-06 3.31767e-05
0.0234375 0.0390625 3.22384e-06 -5.36899e-06 3.31716e-05
0.0390625 0.0390625 5.43545e-06 -5.69033e-06 3.31595e-05
0.0546875 0.0390625 7.64877e-06 -5.70708e-06 3.31404e-05
0.0703125 0.0390625 9.85166e-06 -5.6774e-06 3.31143e-05
0.0859375 0.0390625 1.20397e-05 -5.63638e-06 3.30812e-05
0.101563 0.0390625 1.42099e-05 -5.58819e-06 3.30409e-05
0.117188 0.0390625 1.63596e-05 -5.53379e-06 3.29934e-05
0.132813 0.0390625 1.84865e-05 -5.47388e-06 3.29386e-05
0.148438 0.0390625 2.05886e-05 -5.40921e-06 3.28765e-05
0.164063 0.0390625 2.26641e-05 -5.34049e-06 3.28068e-05
0.179688 0.0390625 2.47117e-05 -5.26843e-06 3.27295e-05
0.195313 0.0390625 2.67301e-05 -5.1937e-06 3.26444e-05
0.210938 0.0390625 2.87187e-05 -5.11694e-06 3.25515e-05
